id;budget_no;estimation_name;estimation_date;work_period_start;work_period_end;delivery_items;delivery_date;acceptance_date;payments_terms;estimate_expiration_date;total_amount;client_sales_staff;accuracy;mail_send_date;post_send_date;send_flag;confirm_flag;update_count
1;81565;bypassing;2022-11-20;2022-11-20;2022-11-20;COM Rest 1080p;Personal Ramp;copy engineer;A;2022-11-21;217600106;Harbors;D;2022-11-20;2022-11-20;MAIL_SENT;false;83840
2;33179;Industrial payment compress;2022-11-20;2022-11-21;2022-11-20;Steel support Marketing;indexing attitude;customer cyan;A;2022-11-20;218799161;Computer copying payment;D;2022-11-20;2022-11-20;POST_SENT;false;69097
3;45636;circuit bypassing Oval;2022-11-20;2022-11-20;2022-11-20;installation reinvent;Fantastic;robust object-oriented;C;2022-11-21;433941429;Islands;D;2022-11-20;2022-11-20;POST_SENT;false;92944
4;67730;virtual;2022-11-20;2022-11-21;2022-11-20;Hawaii;Sol Berkshire system;Incredible mission-critical Li;B;2022-11-20;941785886;Streamlined;D;2022-11-20;2022-11-20;NOT_SENT;true;52668
5;28062;leverage;2022-11-20;2022-11-21;2022-11-20;compelling Gloves;Mexican Computer;Salad;C;2022-11-20;373779757;Investment;A;2022-11-20;2022-11-20;MAIL_SENT;true;9346
6;3731;Fresh;2022-11-20;2022-11-20;2022-11-20;IB;PNG system Centralized;withdrawal;D;2022-11-20;749708130;Fantastic Visionary;D;2022-11-20;2022-11-20;POST_SENT;true;48422
7;51040;Savings navigate;2022-11-20;2022-11-21;2022-11-20;Soft;Nigeria concept;Senior Borders;B;2022-11-20;191592936;analyzer Frozen;A;2022-11-20;2022-11-20;POST_SENT;false;85737
8;65946;value-added;2022-11-21;2022-11-20;2022-11-20;HTTP;cohesive;Toys calculating;A;2022-11-20;183920591;Dynamic;D;2022-11-20;2022-11-21;NOT_SENT;false;88335
9;33483;Keyboard niches;2022-11-20;2022-11-20;2022-11-20;expedite;payment grey;Liaison Cheese;C;2022-11-20;596465201;synthesize;B;2022-11-20;2022-11-20;MAIL_SENT;false;81748
10;5890;Idaho Concrete;2022-11-20;2022-11-20;2022-11-20;Belarus;Computer Pants;Massachusetts;B;2022-11-20;550037036;application Gourde Cape;D;2022-11-20;2022-11-20;MAIL_SENT;false;33609
