id;budget_no;estimation_item_no;standard_price;additional_price;deduction_price;lower_limit_hour;upper_limit_hour;memo;update_count
1;68945;30008;555616545;717904927;393479324;949;662;Buckinghamshire paradigms;46613
2;88835;21194;978249212;429370513;714531682;184;979;reinvent;27329
3;23398;69334;331390968;641262174;970833904;129;439;deposit extend envisioneer;84517
4;95839;3714;442992797;195226500;528064809;23;737;overriding Kansas;57950
5;30686;36113;505080314;907096383;835834377;812;153;SCSI Borders applications;89001
6;4976;5341;834404662;548601844;300887062;774;948;hierarchy;68734
7;55015;55284;824989334;484538035;544154911;393;878;Carolina Plastic;36459
8;60715;89701;819069084;316268323;860326458;150;648;Small;70792
9;72287;59996;508465207;529962404;120568084;640;398;orchestration;52420
10;42337;63160;366687990;401560787;399956772;752;273;Frozen Stand-alone Run;55639
