id;estimation_no;estimation_item_no;standard_price;additional_price;deduction_price;lower_limit_hour;upper_limit_hour;memo;update_count
1;63612;82961;811791716;732747856;407654385;241;838;generate Washington;82261
2;18975;90240;761443214;434728703;78873205;672;6;models Product;5419
3;60882;75232;882286282;390481811;972726099;461;95;Row China Nakfa;67531
4;72464;64704;498625358;128526787;175778861;171;432;Global Unbranded real-time;51911
5;73038;86831;946329479;358612335;803146696;359;763;Ball;79421
6;17144;12307;661497855;679926523;705054970;438;678;Village;68721
7;95931;538;298269129;16299393;911186735;86;416;compress;39355
8;66659;19638;302192367;912703994;183226232;473;754;transmitter;66219
9;67760;81690;651979146;497076048;526997211;721;979;Assurance Cotton;54966
10;23916;23389;328548424;986966129;485903673;409;230;5th IB Computers;30910
