id;quotation_no;quotation_item_no;worker_name;standard_price;count;upper_limit_hour;lower_limit_hour;additional_price;deduction_price;memo;update_count
1;Unbranded azure challenge;31421;Bedfordshire Mobility;883146210;34829;246;271;76593206;625604156;Mills;56904
2;Berkshire frictionless PNG;18348;Usability FTP;356948284;11104;299;666;849463313;553395758;connect;45245
3;markets;76084;port customer;548821249;86952;777;737;454320846;20795356;Buckinghamshire transmitting;55757
4;Intelligent up;36555;Groves sky Product;832152495;10558;291;871;33927834;423563471;turquoise recontextualize Down-sized;71108
5;access Loan hacking;9772;PCI Industrial;765591186;68688;56;333;391258801;984855732;Account Music;82191
6;transmitter drive Table;20806;Fantastic Plastic Lek;916526978;72406;295;741;881717618;539650442;payment;8497
7;Directives embrace;45574;Cheese bypassing Account;908132500;81196;986;330;845691497;130362587;indigo turquoise;78897
8;Analyst salmon;75011;Loan bypass;468564053;37528;419;840;890970581;774035032;Comoros Borders;61724
9;Peso Dynamic;30781;Reduced;164242517;69837;423;846;999027492;515757008;Internal Micronesia;69437
10;Steel circuit lavender;92982;Consultant hacking mission-critical;625882066;61203;601;218;944212130;903257645;haptic Sports;53400
